iter	RMSE
0	1.932442021
1	1.861594979
2	1.796624088
3	1.742422456
4	1.69984994
5	1.660577725
6	1.629866327
7	1.601247875
8	1.578851643
9	1.560663929
10	1.545866007
11	1.53266617
12	1.521219514
13	1.514580358
14	1.506839363
15	1.500367456
16	1.494463961
17	1.490913803
18	1.487013957
19	1.483915813
20	1.480044223
21	1.47653416
22	1.474641722
23	1.472356066
24	1.468777828
25	1.465914425
26	1.465252409
27	1.463741754
28	1.462331703
29	1.460740321
30	1.460121536
31	1.457661868
32	1.457484586
33	1.455676141
34	1.45499603
35	1.454305662
36	1.452132284
37	1.450841077
38	1.450556972
39	1.448090941
40	1.447946882
41	1.44764197
42	1.445994114
43	1.445239756
44	1.444296221
45	1.443725293
46	1.443486018
47	1.443142697
48	1.442871063
49	1.442179059
50	1.441845517
51	1.441197039
52	1.440676995
53	1.439851432
54	1.439416882
55	1.439030122
56	1.438692459
57	1.438581298
58	1.438393195
59	1.438135825
60	1.437959343
61	1.437364259
62	1.43700373
63	1.436366686
64	1.435928861
65	1.435617333
66	1.43471565
67	1.433658014
68	1.433361134
69	1.433074381
70	1.432533482
71	1.431847895
72	1.431274277
73	1.430401473
74	1.430301678
75	1.430084433
76	1.429171715
77	1.429037562
78	1.428807432
79	1.428437299
80	1.426388722
81	1.426006783
82	1.424914802
83	1.424691475
84	1.423841407
85	1.423682279
86	1.422950411
87	1.422440303
88	1.421000279
89	1.42075298
90	1.41982141
91	1.419470093
92	1.41925493
93	1.418904567
94	1.418245891
95	1.417703705
96	1.417330652
97	1.416959499
98	1.416222273
99	1.415766544
