iter	Passed	Remaining
0	20	2029
1	43	2115
2	66	2134
3	88	2116
4	110	2102
5	132	2074
6	156	2078
7	180	2077
8	203	2057
9	226	2037
10	249	2021
11	272	2001
12	299	2002
13	322	1982
14	345	1957
15	367	1930
16	390	1904
17	412	1878
18	438	1868
19	461	1845
20	485	1828
21	509	1807
22	533	1784
23	555	1760
24	577	1733
25	600	1709
26	612	1654
27	635	1633
28	658	1611
29	681	1589
30	703	1566
31	726	1544
32	738	1499
33	762	1480
34	786	1460
35	809	1438
36	831	1416
37	854	1394
38	876	1371
39	900	1351
40	917	1320
41	940	1298
42	967	1282
43	994	1265
44	1016	1241
45	1039	1220
46	1061	1196
47	1084	1174
48	1107	1152
49	1130	1130
50	1157	1112
51	1180	1089
52	1201	1065
53	1223	1042
54	1247	1020
55	1269	997
56	1291	974
57	1314	952
58	1337	929
59	1359	906
60	1381	883
61	1404	860
62	1427	838
63	1452	817
64	1478	796
65	1501	773
66	1525	751
67	1550	729
68	1572	706
69	1596	684
70	1618	661
71	1641	638
72	1665	615
73	1688	593
74	1711	570
75	1733	547
76	1755	524
77	1779	501
78	1804	479
79	1828	457
80	1852	434
81	1875	411
82	1897	388
83	1938	369
84	1968	347
85	1997	325
86	2025	302
87	2064	281
88	2099	259
89	2144	238
90	2182	215
91	2208	192
92	2232	168
93	2255	143
94	2279	119
95	2304	96
96	2326	71
97	2349	47
98	2371	23
99	2393	0
